,world_x,world_y,eye_x,eye_y,eye_w,eye_h,pipil_x,pupil_y,pupil_w,pupil_h
222,372,297,194,222,372,172,234,234,199,159
223,301,271,165,194,373,172,293,174,199,159
224,346,234,130,164,447,206,254,174,199,159
225,354,374,130,164,447,206,254,174,199,159
226,345,227,130,164,447,206,233,185,239,191
227,285,249,130,164,447,206,305,161,238,191
228,454,210,136,165,373,172,305,161,238,191
229,346,241,130,198,447,207,233,185,239,191
230,330,253,165,194,373,172,254,174,199,159
231,345,258,165,194,373,172,254,194,199,159
232,334,336,165,251,373,172,293,254,199,159
233,305,229,165,165,373,172,273,154,200,159
234,426,234,130,198,447,207,174,214,199,159
235,221,205,130,95,447,207,333,114,199,159
236,238,207,130,130,447,206,333,114,199,159
237,433,335,130,130,447,206,333,114,199,159
238,350,243,165,194,373,172,233,161,239,191
239,241,293,165,165,373,172,333,174,199,159
240,297,253,95,130,447,206,273,134,200,159
241,347,229,130,164,447,206,234,174,199,159
242,198,261,130,130,447,206,373,154,199,159
243,353,269,130,198,447,207,233,209,239,191
244,289,256,165,165,373,172,293,154,199,159
245,309,217,130,130,447,206,254,134,199,159
246,361,273,165,194,373,172,234,214,199,159
247,370,230,130,164,447,206,214,174,199,159
248,349,219,95,130,447,206,214,134,199,159
249,372,251,165,194,373,172,234,194,199,159
250,248,241,95,130,447,206,333,154,199,159
251,238,312,194,194,372,172,373,194,199,159
252,303,254,130,164,447,206,281,161,239,191
253,340,235,130,164,447,206,209,185,239,191
254,390,170,136,108,373,172,178,128,166,133
255,251,182,130,95,447,207,313,94,199,160
256,442,276,165,222,373,172,194,244,166,133
257,371,273,136,194,373,172,214,194,199,159
258,343,242,130,164,447,206,254,174,199,159
259,357,235,136,165,373,172,214,154,199,159
260,362,303,165,222,373,172,234,214,199,159
261,394,217,165,165,373,172,214,174,199,159
262,384,215,130,198,447,207,194,234,199,159
263,347,278,165,194,373,172,234,194,199,159
264,329,259,165,194,373,172,273,194,200,159
265,325,275,164,198,447,207,257,185,239,191
266,234,276,130,164,447,206,353,154,199,159
267,333,270,130,164,447,206,273,174,200,159
268,293,228,165,165,373,172,257,137,239,191
269,348,274,165,194,373,172,254,214,199,159
270,260,291,130,164,447,206,305,161,238,191
271,288,294,165,194,373,172,273,174,200,159
272,356,290,194,222,372,172,233,209,239,191
273,354,231,130,198,447,207,233,209,239,191
274,289,304,194,222,372,172,313,214,199,159
275,267,291,164,198,447,207,305,185,238,191
276,211,240,165,165,373,172,373,154,199,159
277,361,186,136,136,373,172,214,134,199,159
278,233,310,130,198,447,207,373,194,199,159
279,348,232,130,198,447,207,373,194,199,159
280,331,273,165,194,373,172,273,194,200,159
281,369,203,130,164,447,206,185,185,239,191
282,338,266,165,194,373,172,254,194,199,159
283,360,271,165,165,373,172,273,174,200,159
284,304,288,165,194,373,172,273,194,200,159
285,315,270,165,165,373,172,254,174,199,159
286,251,340,194,222,372,172,333,214,199,159
287,322,290,194,222,372,172,293,214,199,159
288,340,198,130,164,447,206,209,161,239,191
289,322,248,165,194,373,172,273,174,200,159
290,355,202,130,130,447,206,214,134,199,159
291,246,254,130,164,447,206,333,154,199,159
292,308,244,95,164,447,206,273,174,200,159
293,340,242,130,164,447,206,233,185,239,191
294,337,220,130,164,447,206,233,161,239,191
295,360,270,165,194,373,172,209,161,239,191
